kohde;jasen;tutkk;pkvp;pvknro;T1;tytyy;Vastaaja;sp;IKAL1;PERHEV;ELVAIHE1;TOIMINTA;ISCO3KA_2;TOLA8KA_2;SOSE;TYOAIKA;TKES;YLSIV;KASTE_2;suuralue2;kunry;TIHEYS;ASALUE;KOKO_2;ANSIOLKM_2;HDESI;V46
50510;2;9;7;1;3;3;1;2;5;4;5;1;20;5;2;2;NA;2;NA;A;2;1.00;1;3;2;4;0
50511;1;4;1;1;NA;;1;2;3;3;4;3;;;NA;NA;NA;1;3;D;1;1.00;1;2;0;6;0
50512;1;2;7;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;2;5;C;3;0.33;1;2;0;10;0
50512;2;2;7;1;NA;;1;2;7;3;7;5;;;NA;NA;NA;2;5;C;3;0.33;1;2;0;10;0
50513;1;11;7;1;1;3;1;1;6;2;8;1;2;5;3;2;NA;1;78;A;1;0.50;1;1;1;10;0
50514;1;6;3;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;2;NA;E;2;1.00;3;4+;3;1;0
50514;2;6;3;1;2;3;1;1;6;4;6;1;10;13;1;1;NA;2;3;E;2;1.00;3;4+;3;1;0
50514;3;6;3;1;1;2;1;2;5;4;6;1;1;4;5;2;NA;2;3;E;2;1.00;3;4+;3;1;0
50514;4;6;3;1;1;3;1;2;2;1;1;1;21;10;4;1;NA;2;NA;E;2;1.00;3;4+;3;1;100
50514;5;6;3;1;NA;;1;2;1;1;1;3;;;NA;NA;NA;3;NA;E;2;1.00;3;4+;3;1;0
50514;6;6;3;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;E;2;1.00;3;4+;3;1;0
50514;7;6;3;1;NA;;1;2;1;1;1;3;;;NA;NA;NA;3;NA;E;2;1.00;3;4+;3;1;0
50515;1;9;6;1;NA;;1;2;9;2;8;5;;;NA;NA;NA;3;NA;C;3;1.00;2;1;0;4;0
50516;1;12;1;1;NA;;1;1;7;3;7;4;;;NA;NA;NA;2;3;B;1;1.00;1;2;0;4;0
50516;2;12;1;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;3;B;1;1.00;1;2;0;4;0
50517;1;10;3;1;1;3;1;1;3;2;2;1;1;11;5;2;NA;2;3;D;3;0.33;2;1;1;9;0
50518;1;7;5;1;3;3;1;1;6;4;6;1;12;13;2;2;NA;2;3;E;3;0.60;3;3;3;8;0
50518;2;7;5;1;1;3;1;2;6;4;6;1;19;2;4;2;NA;1;3;E;3;0.60;3;3;3;8;0
50518;3;7;5;1;1;3;1;1;2;1;1;1;9;14;5;1;NA;2;NA;E;3;0.60;3;3;3;8;0
50519;1;11;2;1;NA;;1;2;9;2;8;5;;;NA;NA;NA;3;NA;E;1;0.50;1;1;0;1;0
50520;1;10;4;1;NA;;1;2;7;3;7;4;;;NA;NA;NA;1;5;E;1;1.00;1;3;0;4;0
50521;1;9;1;1;3;3;1;2;3;3;4;1;20;5;2;1;NA;1;3;B;1;1.00;1;2;1;5;0
50521;2;9;1;1;NA;;1;1;4;3;4;2;;;NA;NA;48;2;3;B;1;1.00;1;2;1;5;0
50522;1;12;5;1;1;3;1;2;5;3;4;1;1;10;3;2;NA;2;5;B;3;0.67;3;2;2;9;0
50523;1;6;7;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;NA;B;2;0.50;3;2;0;6;0
50523;2;6;7;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;NA;B;2;0.50;3;2;0;6;0
50524;1;2;2;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;3;B;1;0.40;1;2;0;9;0
50524;2;2;2;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;2;5;B;1;0.40;1;2;0;9;0
50525;1;3;1;1;NA;;1;1;7;2;8;2;;;NA;NA;NA;3;3;C;1;0.25;1;1;0;10;0
50526;1;2;1;1;NA;;1;1;7;3;7;5;;;NA;NA;NA;1;5;B;1;0.50;1;2;0;7;0
50526;2;2;1;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;3;B;1;0.50;1;2;0;7;0
50527;1;9;7;1;1;3;1;2;8;2;8;1;6;12;5;1;NA;3;NA;D;1;0.33;1;1;1;6;0
50528;1;3;4;1;1;2;1;2;7;3;7;1;5;12;4;2;NA;1;5;A;1;0.40;1;2;2;10;0
50528;2;3;4;1;1;3;1;1;6;3;7;1;20;2;3;2;NA;1;6;A;1;0.40;1;2;2;10;0
50529;1;11;7;1;3;3;1;2;7;3;7;1;17;2;2;NA;NA;1;3;B;1;0.67;1;2;2;10;0
50529;2;11;7;1;3;3;1;1;7;3;7;1;5;12;2;NA;NA;1;78;B;1;0.67;1;2;2;10;0
50530;1;2;1;1;1;3;1;1;7;2;8;1;9;4;4;2;NA;1;5;B;1;0.50;1;1;1;9;0
50531;1;7;4;1;1;3;1;2;7;2;8;1;9;8;4;2;NA;2;3;D;1;0.33;1;1;1;9;0
50532;1;11;1;1;1;3;1;2;5;4;6;1;3;2;4;2;NA;2;3;B;2;0.44;1;4+;2;4;0
50532;2;11;1;1;1;3;1;1;5;4;6;1;16;4;4;2;NA;2;3;B;2;0.44;1;4+;2;4;0
50532;3;11;1;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;B;2;0.44;1;4+;2;4;0
50533;1;3;3;1;1;3;1;2;3;2;2;1;10;5;5;2;NA;1;3;E;1;0.33;1;1;1;4;0
50534;1;6;5;1;NA;;1;1;6;2;8;4;;;NA;NA;NA;3;3;A;2;0.33;3;1;0;3;0
50535;1;9;7;1;NA;;1;1;8;2;8;5;;;NA;NA;NA;2;5;A;1;0.33;1;1;0;10;0
50536;1;11;5;1;1;3;1;1;4;4;5;1;9;2;3;2;NA;1;78;E;1;1.00;3;4+;1;4;0
50536;2;11;5;1;NA;;1;2;4;4;5;6;;;NA;NA;NA;1;3;E;1;1.00;3;4+;1;4;0
50537;1;1;7;1;1;3;1;1;6;4;6;1;7;9;3;2;NA;2;5;A;1;0.75;1;3;2;7;0
50537;2;1;7;1;1;2;1;2;6;4;6;1;8;13;5;2;NA;3;3;A;1;0.75;1;3;2;7;90
50538;1;7;6;1;NA;;1;1;7;3;7;5;;;NA;NA;NA;3;5;E;1;0.40;1;2;1;5;0
50539;1;12;7;1;NA;;1;2;7;3;7;5;;;NA;NA;NA;2;3;B;1;0.50;3;2;0;6;0
50539;2;12;7;1;NA;;1;1;7;3;7;4;;;NA;NA;NA;3;5;B;1;0.50;3;2;0;6;0
50540;1;8;1;1;1;1;1;1;2;1;1;1;15;3;5;2;NA;2;3;C;3;0.60;1;3;3;8;0
50540;2;8;1;1;1;3;1;2;6;3;7;1;12;5;4;2;NA;3;3;C;3;0.60;1;3;3;8;0
50540;3;8;1;1;1;3;1;1;6;3;7;1;18;2;3;2;NA;2;5;C;3;0.60;1;3;3;8;0
50541;1;12;7;1;2;3;1;1;7;3;7;1;1;11;1;1;NA;3;NA;B;3;0.50;3;2;2;2;0
50541;2;12;7;1;2;3;1;2;7;3;7;1;20;4;1;1;NA;3;NA;B;3;0.50;3;2;2;2;0
50542;1;10;7;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;3;B;3;1.00;2;2;0;3;0
50542;2;10;7;1;NA;;1;2;9;3;7;5;;;NA;NA;NA;3;NA;B;3;1.00;2;2;0;3;0
50543;1;8;3;1;NA;;1;2;5;4;6;6;;;NA;NA;NA;1;6;A;1;0.50;3;4+;1;7;0
50543;2;8;3;1;3;3;1;1;5;4;6;1;7;3;2;2;NA;1;78;A;1;0.50;3;4+;1;7;0
50543;3;8;3;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;A;1;0.50;3;4+;1;7;320
50544;1;11;1;1;1;3;1;1;5;3;4;1;15;3;5;2;NA;2;3;D;1;1.00;1;2;2;7;0
50545;1;10;2;1;1;2;1;2;5;4;5;1;6;12;3;2;NA;1;78;E;2;tammi.25;2;4+;1;8;0
50545;2;10;2;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;E;2;tammi.25;2;4+;1;8;360
50546;1;4;7;1;NA;;1;2;9;3;7;5;;;NA;NA;NA;3;NA;E;1;0.67;2;2;0;3;0
50546;2;4;7;1;NA;;1;1;9;3;7;5;;;NA;NA;NA;3;NA;E;1;0.67;2;2;0;3;0
50547;1;5;1;1;3;3;1;1;6;3;7;1;21;13;2;2;NA;2;NA;B;3;0.50;3;2;2;9;0
50547;2;5;1;1;1;3;1;2;6;3;7;1;13;2;4;2;NA;3;3;B;3;0.50;3;2;2;9;0
50548;1;5;1;1;NA;;1;2;7;3;7;4;;;NA;NA;NA;2;5;C;2;0.67;2;2;1;7;0
50548;2;5;1;1;1;3;1;1;7;3;7;1;14;1;3;2;NA;3;3;C;2;0.67;2;2;1;7;0
50549;1;10;6;1;NA;;1;2;7;2;8;7;;;NA;NA;NA;1;6;B;1;0.25;1;1;0;10;0
50550;1;12;7;1;1;3;1;2;6;4;5;1;13;5;4;2;NA;1;5;B;1;tammi.25;1;4+;2;5;0
50550;2;12;7;1;1;3;1;1;6;4;5;1;1;14;3;2;NA;1;78;B;1;tammi.25;1;4+;2;5;0
50550;3;12;7;1;NA;;1;2;1;1;1;3;;;NA;NA;NA;3;NA;B;1;tammi.25;1;4+;2;5;0
50551;1;6;7;1;NA;;1;2;8;2;8;5;;;NA;NA;NA;1;6;A;1;0.20;1;1;0;8;0
50552;1;4;6;1;1;2;1;2;6;3;7;1;2;1;5;2;NA;3;3;C;2;0.67;1;2;2;8;0
50552;2;4;6;1;1;3;1;1;7;3;7;1;1;13;5;2;NA;3;NA;C;2;0.67;1;2;2;8;0
50553;1;4;7;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;2;NA;A;3;tammi.25;3;4+;2;4;0
50553;2;4;7;1;1;3;1;1;6;4;5;1;13;4;5;2;NA;2;NA;A;3;tammi.25;3;4+;2;4;0
50553;3;4;7;1;1;3;1;2;5;4;5;1;1;2;3;2;NA;1;5;A;3;tammi.25;3;4+;2;4;0
50553;4;4;7;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;A;3;tammi.25;3;4+;2;4;0
50554;1;7;4;1;NA;;1;2;7;2;8;5;;;NA;NA;NA;2;3;A;1;0.50;1;1;0;7;0
50555;1;5;7;1;1;2;1;1;6;2;8;1;5;12;5;2;NA;3;3;C;1;1.00;1;1;1;8;0
50556;1;7;7;1;1;3;2;1;6;3;7;1;8;4;5;NA;NA;3;NA;A;1;0.50;1;3;2;8;0
50556;2;7;7;1;1;1;1;2;6;3;7;1;2;10;3;2;NA;1;3;A;1;0.50;1;3;2;8;0
50556;3;7;7;1;NA;;2;1;3;1;1;4;;;NA;NA;NA;2;NA;A;1;0.50;1;3;2;8;0
50557;1;6;3;1;1;3;1;1;5;2;2;1;10;5;5;2;NA;2;3;C;1;1.00;1;1;1;8;0
50558;1;11;6;1;NA;;1;2;9;3;7;5;;;NA;NA;NA;3;NA;E;1;0.67;3;2;0;3;0
50559;1;7;3;1;NA;;1;1;3;3;4;2;;;NA;NA;6;2;3;C;1;1.00;1;2;0;1;0
50559;2;7;3;1;NA;;1;2;2;3;4;3;;;NA;NA;NA;2;NA;C;1;1.00;1;2;0;1;0
50560;1;3;4;1;1;3;1;2;3;2;2;1;8;13;4;1;NA;1;3;A;2;1.00;3;1;1;1;530
50561;1;8;7;1;1;2;1;2;4;4;5;1;15;9;4;2;NA;2;3;B;1;0.75;1;3;2;4;0
50561;2;8;7;1;1;3;1;1;4;4;5;1;3;9;4;2;NA;1;3;B;1;0.75;1;3;2;4;0
50562;1;7;2;1;1;3;1;1;6;2;8;1;1;12;5;2;NA;3;3;B;1;0.33;1;1;1;9;0
50563;1;12;3;1;NA;;1;2;9;3;7;5;;;NA;NA;NA;2;NA;E;1;0.50;1;2;0;5;0
50563;2;12;3;1;NA;;2;1;9;3;7;5;;;NA;NA;NA;3;NA;E;1;0.50;1;2;0;5;0
50564;1;12;1;1;2;3;1;1;7;3;7;1;21;14;1;2;NA;3;NA;B;3;0.60;3;3;3;10;0
50564;2;12;1;1;2;3;1;2;6;3;7;1;9;2;1;2;NA;1;5;B;3;0.60;3;3;3;10;0
50564;3;12;1;1;5;3;1;1;4;1;1;1;8;13;1;2;NA;1;6;B;3;0.60;3;3;3;10;0
50565;1;1;5;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;2;NA;B;3;0.50;2;2;0;6;0
50565;2;1;5;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;NA;B;3;0.50;2;2;0;6;0
50566;1;3;3;1;NA;;1;1;7;4;6;4;;;NA;NA;NA;2;NA;E;3;tammi.33;3;4+;1;1;0
50566;2;3;3;1;3;3;2;2;6;4;6;1;3;12;2;NA;NA;2;3;E;3;tammi.33;3;4+;1;1;0
50566;3;3;3;1;NA;;2;2;1;1;1;3;;;NA;NA;NA;3;NA;E;3;tammi.33;3;4+;1;1;0
50566;4;3;3;1;NA;;2;1;1;1;1;3;;;NA;NA;NA;3;NA;E;3;tammi.33;3;4+;1;1;0
50567;1;4;7;1;NA;;1;2;4;2;2;3;;;NA;NA;NA;1;3;C;1;1.00;1;1;0;1;0
50568;1;1;1;1;1;3;1;2;6;3;7;1;8;13;4;2;NA;2;3;B;1;0.60;1;3;2;9;0
50568;2;1;1;1;1;2;1;1;6;3;7;1;18;2;3;2;NA;3;5;B;1;0.60;1;3;2;9;0
50568;3;1;1;1;NA;;1;1;2;1;1;3;;;NA;NA;NA;2;NA;B;1;0.60;1;3;2;9;30
50569;1;9;6;1;NA;;1;1;7;3;7;5;;;NA;NA;NA;1;6;E;1;1.00;1;2;0;9;0
50569;2;9;6;1;NA;;1;2;7;3;7;4;;;NA;NA;NA;1;5;E;1;1.00;1;2;0;9;0
50570;1;1;4;1;NA;;1;1;9;3;7;5;;;NA;NA;NA;3;3;B;1;1.00;1;2;0;5;0
50571;1;7;6;1;NA;;1;2;2;2;2;3;;;NA;NA;NA;2;NA;B;1;1.00;1;1;0;1;0
50572;1;6;4;1;1;3;1;2;4;3;4;1;3;4;3;2;NA;1;6;A;2;1.00;1;2;1;5;0
50572;2;6;4;1;NA;;1;1;3;3;4;4;;;NA;NA;NA;1;3;A;2;1.00;1;2;1;5;0
50573;1;10;7;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;NA;A;1;0.50;2;2;0;4;0
50573;2;10;7;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;3;A;1;0.50;2;2;0;4;0
50574;1;2;3;1;NA;;1;1;3;2;2;3;;;NA;NA;NA;1;3;B;2;1.00;3;1;0;1;240
50575;1;1;3;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;2;NA;D;1;0.29;1;2;0;10;0
50575;2;1;3;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;2;5;D;1;0.29;1;2;0;10;0
50576;1;12;1;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;NA;B;2;0.40;1;2;1;5;0
50576;2;12;1;1;1;3;1;1;8;3;7;1;14;1;5;2;NA;3;NA;B;2;0.40;1;2;1;5;0
50577;1;4;4;1;1;2;1;2;6;3;7;1;21;13;4;2;NA;1;78;A;1;1.00;1;3;1;4;0
50577;2;4;4;1;NA;;1;1;6;3;7;4;;;NA;NA;NA;3;3;A;1;1.00;1;3;1;4;0
50577;3;4;4;1;NA;;1;1;2;1;1;3;;;NA;NA;10;2;NA;A;1;1.00;1;3;1;4;360
50578;1;4;7;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;2;NA;A;3;0.33;2;2;0;9;30
50579;1;6;2;1;1;3;1;2;4;5;3;1;5;12;4;2;NA;2;6;B;1;1.00;1;3;1;1;0
50580;1;1;1;1;1;2;1;2;5;4;5;1;5;12;3;2;NA;1;78;C;1;1.00;1;4+;2;5;0
50580;2;1;1;1;1;3;1;1;5;4;5;1;9;4;3;2;NA;2;6;C;1;1.00;1;4+;2;5;0
50581;1;10;2;1;1;2;1;2;7;3;7;1;12;13;4;2;NA;2;NA;C;1;0.40;1;2;2;9;0
50581;2;10;2;1;1;3;1;1;6;3;7;1;3;12;5;2;NA;3;3;C;1;0.40;1;2;2;9;0
50582;1;1;1;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;3;B;1;0.40;1;2;1;7;0
50582;2;1;1;1;1;1;1;2;7;3;7;1;12;13;4;1;NA;1;5;B;1;0.40;1;2;1;7;0
50583;1;9;7;1;1;2;1;2;6;3;7;1;1;2;3;2;NA;1;78;A;3;0.60;1;3;2;9;0
50583;2;9;7;1;1;2;1;1;6;3;7;1;1;11;3;2;NA;1;78;A;3;0.60;1;3;2;9;0
50583;3;9;7;1;NA;;2;2;2;1;1;3;;;NA;NA;NA;2;NA;A;3;0.60;1;3;2;9;400
50584;1;9;5;1;1;3;1;1;5;3;4;1;11;11;5;2;NA;2;3;A;1;0.50;1;2;2;10;0
50584;2;9;5;1;1;2;1;2;5;3;4;1;1;6;3;2;NA;1;78;A;1;0.50;1;2;2;10;0
50585;1;1;7;1;NA;;1;1;6;2;8;2;;;NA;NA;767;2;3;B;1;0.50;1;1;0;1;0
50586;1;9;6;1;NA;;1;2;5;4;5;6;;;NA;NA;NA;1;6;A;1;1.00;1;3;1;5;0
50586;2;9;6;1;1;3;1;1;6;4;5;1;14;1;3;2;NA;2;5;A;1;1.00;1;3;1;5;0
50587;1;4;3;1;NA;;1;2;8;2;8;5;;;NA;NA;NA;2;NA;C;1;0.25;2;1;0;7;0
50588;1;12;1;1;NA;;1;1;7;3;7;4;;;NA;NA;NA;3;NA;D;1;0.50;1;2;0;8;0
50588;2;12;1;1;NA;;1;2;7;3;7;5;;;NA;NA;NA;1;5;D;1;0.50;1;2;0;8;0
50589;1;12;6;1;1;2;1;2;7;3;7;1;12;12;3;2;NA;2;5;C;1;0.33;1;2;1;9;0
50589;2;12;6;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;2;6;C;1;0.33;1;2;1;9;0
50590;1;2;4;1;NA;;1;2;9;3;7;5;;;NA;NA;NA;1;5;B;1;0.40;1;2;0;9;0
50590;2;2;4;1;NA;;1;1;9;3;7;5;;;NA;NA;NA;2;5;B;1;0.40;1;2;0;9;0
50591;1;3;5;1;1;3;1;2;6;3;7;1;11;10;4;2;NA;2;3;A;1;0.02;1;2;2;10;0
50591;2;3;5;1;1;3;1;1;6;3;7;1;5;12;5;2;NA;2;3;A;1;0.02;1;2;2;10;0
50592;1;6;7;1;1;3;1;1;5;4;6;1;5;12;5;2;NA;2;3;E;1;0.80;1;4+;3;8;0
50592;2;6;7;1;1;3;1;2;5;4;6;1;12;13;4;2;NA;1;5;E;1;0.80;1;4+;3;8;0
50592;3;6;7;1;1;3;1;2;2;1;1;1;14;1;5;1;NA;2;NA;E;1;0.80;1;4+;3;8;0
50592;4;6;7;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;E;1;0.80;1;4+;3;8;0
50593;1;8;1;1;NA;;1;2;8;2;8;5;;;NA;NA;NA;2;5;E;1;0.33;1;1;0;8;0
50594;1;11;1;1;NA;;1;2;7;3;7;7;;;NA;NA;NA;3;3;A;1;0.25;1;2;0;8;0
50594;2;11;1;1;NA;;1;1;7;3;7;5;;;NA;NA;NA;3;5;A;1;0.25;1;2;0;8;0
50595;1;8;1;1;1;3;1;1;3;2;2;1;21;8;3;2;NA;1;3;C;1;0.50;3;1;1;6;0
50596;1;1;4;1;1;3;1;2;4;3;4;1;5;12;3;2;NA;2;6;E;1;1.00;1;2;2;10;0
50596;2;1;4;1;1;3;1;1;4;3;4;1;17;2;3;2;NA;1;3;E;1;1.00;1;2;2;10;0
50597;1;5;4;1;1;3;1;1;5;5;3;1;6;5;3;2;NA;2;5;B;1;1.00;1;2;1;6;0
50598;1;3;1;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;2;3;B;3;1.00;3;3;0;8;0
50599;1;3;7;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;2;NA;D;2;1.00;1;4+;2;4;0
50599;2;3;7;1;1;3;1;1;6;4;6;1;18;2;5;2;NA;3;3;D;2;1.00;1;4+;2;4;0
50599;3;3;7;1;1;2;1;2;6;4;6;1;3;9;4;NA;NA;3;3;D;2;1.00;1;4+;2;4;0
50599;4;3;7;1;NA;;1;1;2;1;1;3;;;NA;NA;NA;2;NA;D;2;1.00;1;4+;2;4;0
50600;1;10;4;1;1;2;1;2;6;3;7;1;9;9;4;2;NA;1;3;D;1;0.67;2;2;1;5;0
50601;1;1;1;1;1;1;1;1;4;2;2;1;10;4;5;NA;NA;2;3;E;1;0.33;1;1;1;10;0
50602;1;4;1;1;NA;;1;1;9;3;7;5;;;NA;NA;NA;2;5;B;1;1.00;1;2;0;4;0
50602;2;4;1;1;NA;;1;2;9;3;7;5;;;NA;NA;NA;2;NA;B;1;1.00;1;2;0;4;0
50603;1;6;5;1;NA;;1;2;7;3;7;5;;;NA;NA;NA;3;NA;B;3;0.50;3;3;1;4;0
50604;1;3;3;1;1;3;1;1;6;3;7;1;16;2;3;2;NA;2;6;A;2;0.57;3;4+;1;6;0
50604;2;3;3;1;NA;;1;2;6;3;7;2;;;NA;NA;106;2;NA;A;2;0.57;3;4+;1;6;410
50604;3;3;3;1;NA;;1;1;4;1;1;2;;;NA;NA;24;2;6;A;2;0.57;3;4+;1;6;0
50605;1;3;7;1;1;2;1;2;3;3;4;1;16;2;4;2;NA;1;6;C;1;1.00;1;2;2;5;0
50605;2;3;7;1;1;3;1;1;4;3;4;1;3;2;3;2;NA;1;6;C;1;1.00;1;2;2;5;50
50606;1;1;7;1;1;3;1;2;6;4;6;1;21;13;4;NA;NA;2;3;C;1;helmi.50;2;4+;3;7;0
50606;2;1;7;1;1;3;1;1;6;4;6;1;1;2;5;2;NA;2;3;C;1;helmi.50;2;4+;3;7;0
50606;3;1;7;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;2;NA;C;1;helmi.50;2;4+;3;7;30
50606;4;1;7;1;1;3;1;2;2;1;1;1;21;5;4;1;NA;2;NA;C;1;helmi.50;2;4+;3;7;0
50606;5;1;7;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;3;NA;C;1;helmi.50;2;4+;3;7;10
50607;1;1;2;1;NA;;1;1;7;3;7;4;;;NA;NA;NA;1;5;A;1;0.50;1;1;0;9;0
50608;1;7;2;1;NA;;1;1;6;2;8;2;;;NA;NA;NA;2;3;A;1;1.00;1;1;0;1;0
50609;1;3;4;1;NA;;1;2;5;1;1;2;;;NA;NA;8;2;3;B;3;0.50;3;2;0;4;0
50610;1;6;1;1;NA;;1;1;9;2;8;5;;;NA;NA;NA;2;NA;B;1;0.25;1;1;0;6;0
50611;1;11;7;1;NA;;1;2;7;2;8;4;;;NA;NA;NA;2;5;C;1;1.00;1;1;0;7;0
50612;1;2;1;1;NA;;1;1;2;1;1;2;;;NA;NA;NA;1;3;B;1;1.00;1;4+;1;9;0
50612;2;2;1;1;1;3;1;2;6;4;5;1;8;13;3;2;NA;1;78;B;1;1.00;1;4+;1;9;0
50612;3;2;1;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;2;NA;B;1;1.00;1;4+;1;9;0
50612;4;2;1;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;3;NA;B;1;1.00;1;4+;1;9;0
50613;1;6;1;1;1;1;1;1;4;4;5;1;13;4;3;2;NA;2;5;A;3;tammi.17;2;4+;1;2;0
50613;2;6;1;1;7;3;1;2;4;4;5;3;20;5;NA;NA;NA;2;NA;A;3;tammi.17;2;4+;1;2;0
50613;3;6;1;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;A;3;tammi.17;2;4+;1;2;0
50614;1;11;6;1;NA;;1;2;9;2;8;5;;;NA;NA;NA;2;6;E;1;0.33;1;1;0;9;0
50615;1;8;1;1;1;1;1;2;7;3;7;1;1;8;4;2;NA;2;5;C;1;0.67;1;2;1;9;0
50616;1;1;2;1;NA;;1;1;7;3;7;2;;;NA;NA;NA;2;NA;B;3;0.50;2;2;1;7;0
50616;2;1;2;1;1;2;1;2;7;3;7;1;7;2;4;2;NA;1;5;B;3;0.50;2;2;1;7;0
50617;1;3;1;1;1;3;1;1;4;4;5;1;3;7;4;2;NA;2;6;A;3;0.67;2;4+;2;4;0
50617;2;3;1;1;1;3;1;2;4;4;5;1;3;9;4;2;NA;1;6;A;3;0.67;2;4+;2;4;20
50618;1;10;7;1;NA;;1;1;3;2;2;3;;;NA;NA;NA;1;3;B;1;0.33;1;1;0;3;60
50619;1;3;2;1;1;2;1;2;7;2;8;1;20;5;3;2;NA;1;6;A;1;0.20;1;1;1;10;0
50620;1;6;1;1;1;3;1;1;6;4;5;1;16;4;3;2;NA;1;5;B;3;1.00;1;4+;3;3;0
50620;2;6;1;1;1;2;1;2;6;4;5;1;12;13;3;1;NA;1;78;B;3;1.00;1;4+;3;3;0
50620;3;6;1;1;NA;;1;2;1;1;1;3;;;NA;NA;NA;3;NA;B;3;1.00;1;4+;3;3;0
50620;4;6;1;1;NA;;1;2;1;1;1;3;;;NA;NA;NA;3;NA;B;3;1.00;1;4+;3;3;0
50621;1;11;1;1;2;3;1;1;6;1;1;1;14;1;1;NA;NA;2;NA;B;3;1.00;3;3;1;3;0
50621;2;11;1;1;NA;;2;2;8;3;7;5;;;NA;NA;NA;3;NA;B;3;1.00;3;3;1;3;0
50622;1;10;7;1;NA;;1;1;9;2;8;5;;;NA;NA;NA;3;NA;A;3;0.50;2;1;0;5;0
50623;1;11;2;1;1;2;1;1;7;3;7;1;20;2;5;2;NA;3;3;C;1;1.00;2;4+;2;7;0
50623;2;11;2;1;1;1;1;2;6;3;7;1;14;1;4;2;NA;2;3;C;1;1.00;2;4+;2;7;0
50623;3;11;2;1;NA;;1;1;4;1;1;3;;;NA;NA;NA;2;3;C;1;1.00;2;4+;2;7;480
50624;1;8;3;1;NA;;1;2;7;3;7;5;;;NA;NA;NA;2;NA;A;1;0.50;1;2;1;10;0
50624;2;8;3;1;1;3;2;1;7;3;7;1;5;10;4;NA;NA;3;5;A;1;0.50;1;2;1;10;0
50625;1;4;4;1;1;3;1;1;5;3;4;1;3;2;3;2;NA;2;3;B;3;0.50;2;2;2;9;0
50625;2;4;4;1;1;2;1;2;5;3;4;1;1;2;3;2;NA;1;6;B;3;0.50;2;2;2;9;0
50626;1;8;4;1;NA;;1;2;4;4;5;6;;;NA;NA;NA;2;3;A;1;0.75;3;3;1;4;0
50626;2;8;4;1;1;3;2;1;4;4;5;1;11;11;5;NA;NA;2;3;A;1;0.75;3;3;1;4;0
50627;1;6;1;1;1;1;1;2;6;3;7;1;14;4;4;2;NA;1;3;E;1;0.50;1;2;2;10;0
50628;1;11;5;1;1;3;1;1;5;4;6;1;19;2;3;2;NA;2;5;B;3;0.80;2;4+;2;4;0
50628;2;11;5;1;1;2;1;2;5;4;6;1;12;13;4;1;NA;1;5;B;3;0.80;2;4+;2;4;0
50628;3;11;5;1;NA;;1;1;2;1;1;3;;;NA;NA;NA;3;NA;B;3;0.80;2;4+;2;4;450
50628;4;11;5;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;B;3;0.80;2;4+;2;4;310
50629;1;9;1;1;NA;;1;2;4;3;4;3;;;NA;NA;5;1;6;B;1;1.00;3;2;1;2;0
50629;2;9;1;1;3;3;1;1;4;3;4;1;1;10;2;2;NA;1;6;B;1;1.00;3;2;1;2;0
50630;1;8;1;1;1;2;2;1;5;4;5;1;9;2;3;NA;NA;1;78;D;2;1.00;3;4+;2;3;0
50630;2;8;1;1;1;2;1;2;5;4;5;1;14;1;3;2;NA;1;78;D;2;1.00;3;4+;2;3;0
50630;3;8;1;1;NA;;1;2;1;1;1;3;;;NA;NA;NA;3;NA;D;2;1.00;3;4+;2;3;0
