kohde;jasen;tutkk;pkvp;pvknro;T1;tytyy;Vastaaja;sp;IKAL1;PERHEV;ELVAIHE1;TOIMINTA;ISCO3KA_2;TOLA8KA_2;SOSE;TYOAIKA;TKES;YLSIV;KASTE_2;suuralue2;kunry;TIHEYS;ASALUE;KOKO_2;ANSIOLKM_2;HDESI;V46
50152;2;9;4;1;1;3;1;1;5;4;6;1;1;2;3;2;NA;2;3;B;1;1.00;1;4+;2;7;0
50152;3;9;4;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;2;NA;B;1;1.00;1;4+;2;7;270
50152;4;9;4;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;B;1;1.00;1;4+;2;7;290
50153;1;2;4;1;1;3;1;1;4;2;2;1;1;2;5;2;NA;2;3;D;1;1.00;1;1;1;8;0
50154;1;12;3;1;NA;;2;1;2;1;1;3;;;NA;NA;NA;2;NA;B;2;0.43;2;3;2;10;510
50154;2;12;3;1;1;1;2;1;6;4;6;1;1;4;4;NA;NA;1;6;B;2;0.43;2;3;2;10;0
50154;3;12;3;1;1;2;1;2;6;4;6;1;1;11;3;2;NA;1;78;B;2;0.43;2;3;2;10;0
50155;1;1;1;1;NA;;1;1;2;1;1;3;;;NA;NA;NA;3;NA;A;1;0.63;1;4+;2;10;20
50155;2;1;1;1;3;3;1;1;6;4;6;1;1;12;2;2;NA;1;5;A;1;0.63;1;4+;2;10;0
50155;3;1;1;1;3;3;1;2;6;4;6;1;12;13;2;2;NA;1;5;A;1;0.63;1;4+;2;10;0
50155;4;1;1;1;NA;;1;1;2;1;1;3;;;NA;NA;NA;2;NA;A;1;0.63;1;4+;2;10;0
50155;5;1;1;1;NA;;1;2;1;1;1;3;;;NA;NA;NA;3;NA;A;1;0.63;1;4+;2;10;150
50156;1;2;7;1;1;3;1;1;5;2;2;1;3;2;4;2;NA;1;6;E;1;0.50;1;1;1;10;0
50157;1;9;3;1;1;1;1;2;6;3;7;1;5;13;5;2;NA;3;3;B;3;0.67;3;2;1;5;0
50157;2;9;3;1;NA;;1;1;6;3;7;4;;;NA;NA;NA;3;NA;B;3;0.67;3;2;1;5;0
50158;1;6;5;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;NA;D;1;0.50;3;2;0;2;0
50159;1;8;5;1;1;3;1;1;3;3;4;1;13;10;4;2;NA;2;NA;B;1;1.00;1;2;2;3;0
50159;2;8;5;1;1;3;1;2;3;3;4;1;12;6;3;2;NA;2;NA;B;1;1.00;1;2;2;3;0
50160;1;9;1;1;1;3;2;1;5;3;4;1;3;9;5;NA;NA;1;6;A;1;0.67;1;2;2;6;0
50160;2;9;1;1;1;3;1;2;4;3;4;1;13;4;5;2;NA;1;6;A;1;0.67;1;2;2;6;0
50161;1;6;3;1;NA;;1;2;7;3;7;5;;;NA;NA;NA;3;3;B;3;0.50;3;2;1;3;0
50161;2;6;3;1;6;3;1;1;8;3;7;1;12;12;2;2;NA;3;3;B;3;0.50;3;2;1;3;0
